What,Where,When,How_Much
Shiny Darkly releasekoncert på Loppen.,"[55.673854, 12.597078]",2100,105
Jazz Menu - Forår 2018.,"['None', 'None']",1300,110
Kastelskirkens Søndagskoncerter.,"['None', 'None']",1400,
Søndagsbal med Rødovre Palmehaveorkester.,"[55.6826581, 12.4667842]",1400,50
Blæserdag på Musikhøjskolen.,"[55.6787723, 12.5314573]",1400,
Duruflés Requiem.,"[55.6575405, 12.5905654]",1500,
Jesper Thilo Quintet.,"[55.6716512, 12.5900008]",1500,100
Koncert med Mazel Klezmer Band.,"[55.7351542, 12.5118229]",1500,
Koncert til Kyndelmisse.,"[55.7165482, 12.533708]",1700,60
Palæ Bar Jazz.,"[None, None]",1700,
Motionless In White.,"[55.677125, 12.5651939]",2000,225
6lack - Free 6lack Tour.,"[55.6575405, 12.5905654]",2100,260
"Foredrag: ""Islandsk instrumentalmusik"" v. Benjamin Bøgelund Bech.","[55.686089, 12.533412]",1930,
4 prices numbered.,"[55.667748, 12.514108]",1400,0
Other Roads.,"['None', 'None']",1930,125
Winterreise.,"[55.6733994, 12.5826588]",2000,90
The Soft Moon (us).,"[55.677125, 12.5651939]",2000,190
Shawn Holt & The Teardrops (US).,"[55.7018511, 12.4980497]",1025,140
4 prices numbered.,"[55.667748, 12.514108]",1400,120
Jam-session på Lipperts.,"[55.6517012, 12.3037462]",1800,
Jazz: Tidlige Swingorkestre.,"[55.76075609999999, 12.4568021]",1900,
Nikolaj Christensen: Tæt på musikken.,"['None', 'None']",1930,125
Fathers &amp; Sons: Koppel - Diallo - Nordsø - Agami.,"[55.6646175, 12.5100884]",2000,160
Bernhoft &amp; The Fashion Bruises.,"[55.6575405, 12.5905654]",2000,280
4 prices numbered.,"[55.667748, 12.514108]",1400,120
Citybois.,"[55.6575405, 12.5905654]",1900,200
Miss May I.,"[55.677125, 12.5651939]",1900,250
Sangaften med fremtidens stjerner på MGK.,"[55.6787723, 12.5314573]",1900,
Koncert: Raphaëlis Consort.,"[55.7086447, 12.4771908]",1900,
Canellakis &amp; Zimmermann.,"[55.6575405, 12.5905654]",1930,85
'Bach to Violin'.,"[55.6838306, 12.5751354]",1930,100
"Fastelavn ""Kom frit frem"".","[55.7395721, 12.4933224]",1930,
Alex Vargas.,"[55.6252114, 12.5736741]",2000,290
Ole Kock Hansen A Very Big Band Feat. Marie Carmen Koppel &amp; Benjamin Koppel.,"[55.6646175, 12.5100884]",2000,160
Electric Guitars.,"[55.68181879999999, 12.4566722]",2000,
Catbird.,"[55.7018511, 12.4980497]",2000,135
SEXTILE på Loppen 8. februar.,"[55.673854, 12.597078]",2030,60
4 prices numbered.,"[55.667748, 12.514108]",1400,120
"Jesper Thilo ""New Quintet"".","[55.68379270000001, 12.5762312]",1530,120
"ALL SWING &amp; BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","[55.6792101, 12.5897645]",1600,
Fredagskoncert.,"[55.6815933, 12.5761475]",1630,
Tæt på Anne Dorte og Maria.,"[55.701843, 12.511142]",1800,
Koppel Kornucopia.,"[55.6768444, 12.5611143]",1800,315
Burhan g.,"[55.77217899999999, 12.560372]",1900,1320
Dropkick Murphys.,"[55.6490747, 12.5165951]",1900,430
Canellakis &amp; Zimmermann.,"[55.6575405, 12.5905654]",1930,85
OMD - Andy McCluskey and Paul Humphreys.,"[55.6575405, 12.5905654]",2000,270
Ramslag Folkets Hus Spillefolk.,"[55.686089, 12.533412]",2000,30
Skinz (DK).,"[55.6680687, 12.5444302]",2000,
New Kids + Shadow Ray // Vinterjazz 2018.,"[55.6467245, 12.5300743]",2100,50
Heimat.,"[55.7700496, 12.4996326]",2100,90
Nordiske Folketoner.,"[55.679125, 12.577278]",2100,
Orgelmatiné.,"[55.67933859999999, 12.5723587]",0000,
